"Lake","Date","Year","DoY","Blank_Before","Blank_After","SS_Before","SS_After","ZID","Depth_m","Vol_Filtered_mL","Vol_Solvent_mL","Fb_1","Fa_1","Fb_2","Fa_2","Fb_3","Fa_3","R","m","Q","chl.1","chl.2","chl.3","Mean_Chl"
"R","5/30/2022",2022,150,441.81,471.7,"62309",58446,5,3.2,200,25,391993,225415,366155,201246,357555,207982,2.2362188,0.0004761,0.000107653249841371,17.9326630520759,17.7529897780907,16.1020195385234,17.26255745623
"R","5/30/2022",2022,150,441.81,471.7,"62309",58446,6,4.3,200,25,1021804,575560,1307848,719048,1260563,693965,2.2362188,0.0004761,0.000107653249841371,48.0396168222128,63.3862335065993,60.9961160536212,57.4739887941444
"L","5/31/2022",2022,151,461.49,427.66,"57758",57630,1,0,200,25,54461,30561,53344,29726,51134,27736,2.2362188,0.0004761,0.000107653249841371,2.57291267120877,2.5425544547535,2.5188707397884,2.54477928858356
"L","5/31/2022",2022,151,461.49,427.66,"57758",57630,2,0.95,200,25,66305,37626,69741,39244,63396,36163,2.2362188,0.0004761,0.000107653249841371,3.08738755220068,3.2831011604123,2.93172095293006,3.10073655518101
"L","5/31/2022",2022,151,461.49,427.66,"57758",57630,3,2,200,25,106176,59669,106667,59806,106412,58952,2.2362188,0.0004761,0.000107653249841371,5.00662969037265,5.04473894081649,5.10922323747147,5.05353062288687
"L","5/31/2022",2022,151,461.49,427.66,"57758",57630,4,3.4,200,25,129145,73134,133117,73093,131932,72471,2.2362188,0.0004761,0.000107653249841371,6.02976617686504,6.46177866847846,6.40116988881777,6.29757157805376
"L","5/31/2022",2022,151,461.49,427.66,"57758",57630,5,4.2,200,25,209436,118844,208055,115558,209077,116272,2.2362188,0.0004761,0.000107653249841371,9.75252320962949,9.95760265057731,9.99075985152845,9.90029523724508
"L","5/31/2022",2022,151,461.49,427.66,"57758",57630,6,6.2,200,25,867455,485903,816309,470595,844416,489927,2.2362188,0.0004761,0.000107653249841371,41.0753127834748,37.2172356156598,38.1618928830178,38.8181470940508
"T","6/2/2022",2022,153,484.83,494.3,"57665",61777,1,0,200,25,89273,56778,91852,57916,85241,52678,2.2362188,0.0004761,0.000107653249841371,3.49819235359536,3.65332068661677,3.50551277458457,3.55234193826556
"T","6/2/2022",2022,153,484.83,494.3,"57665",61777,2,0.55,200,25,93549,58485,90186,58725,92440,56131,2.2362188,0.0004761,0.000107653249841371,3.77475355243784,3.38687889325938,3.90878184849034,3.69013809806252
"T","6/2/2022",2022,153,484.83,494.3,"57665",61777,3,1.2,200,25,114492,69054,115650,67793,112594,68750,2.2362188,0.0004761,0.000107653249841371,4.89154836629222,5.1519615776585,4.71994908604508,4.9211530099986
"T","6/2/2022",2022,153,484.83,494.3,"57665",61777,4,2.2,200,25,153762,96286,155045,94825,150897,92941,2.2362188,0.0004761,0.000107653249841371,6.18747818788265,6.48287870544737,6.23915174780651,6.30316954704551
"T","6/2/2022",2022,153,484.83,494.3,"57665",61777,5,2.7,200,25,262801,168528,272424,173041,273409,170518,2.2362188,0.0004761,0.000107653249841371,10.1487948222956,10.698902928985,11.0765505294285,10.6414160935697
"T","6/2/2022",2022,153,484.83,494.3,"57665",61777,6,3.8,200,25,304844,193606,315067,198616,311334,198305,2.2362188,0.0004761,0.000107653249841371,11.9751322058544,12.5363285972775,12.1679391763203,12.2264666598174
"R","6/6/2022",2022,157,479.43,472.65,"60471",59782,1,0,200,25,112983,61560,119862,62384,115720,62859,2.2362188,0.0004761,0.000107653249841371,5.53585306659283,6.18769349438233,5.69065843986472,5.80473500027996
"R","6/6/2022",2022,157,479.43,472.65,"60471",59782,2,0.7,200,25,140021,74434,145005,78294,142782,76501,2.2362188,0.0004761,0.000107653249841371,7.06065369734601,7.18165595016771,7.13536505273592,7.12589156674988
"R","6/6/2022",2022,157,479.43,472.65,"60471",59782,3,1.4,200,25,109525,61200,109924,60178,108875,58688,2.2362188,0.0004761,0.000107653249841371,5.20234329858426,5.35531856660885,5.40279364978889,5.32015183832733
"R","6/6/2022",2022,157,479.43,472.65,"60471",59782,4,2.6,200,25,128417,74141,128813,75903,126979,74267,2.2362188,0.0004761,0.000107653249841371,5.84298778839026,5.69593344910695,5.67461810563836,5.73784644771185
"R","6/6/2022",2022,157,479.43,472.65,"60471",59782,5,3.3,200,25,290529,175699,289441,173563,290442,173455,2.2362188,0.0004761,0.000107653249841371,12.3618226792846,12.4746432851184,12.5940307391925,12.4768322345318
"R","6/6/2022",2022,157,479.43,472.65,"60471",59782,6,4.3,200,25,884583,491227,879390,480233,882215,491606,2.2362188,0.0004761,0.000107653249841371,42.3460517446024,42.9705482469322,42.0503282672881,42.4556427529409
"L","6/7/2022",2022,158,472.57,449.34,"59331",58340,1,0,200,25,88482,47516,89961,47670,91005,48857,2.2362188,0.0004761,0.000107653249841371,4.41012303300161,4.55276358904143,4.53736917431411,4.50008526545238
"L","6/7/2022",2022,158,472.57,449.34,"59331",58340,2,0.85,200,25,86679,46734,87542,46504,83040,43359,2.2362188,0.0004761,0.000107653249841371,4.30020906491357,4.41787406699019,4.27178860695545,4.3299572462864
"L","6/7/2022",2022,158,472.57,449.34,"59331",58340,3,1.8,200,25,90607,49942,90174,49686,89753,49332,2.2362188,0.0004761,0.000107653249841371,4.37771940479936,4.35866477957743,4.35145201183806,4.36261206540495
"L","6/7/2022",2022,158,472.57,449.34,"59331",58340,4,3,200,25,138977,76219,140601,77006,138472,75848,2.2362188,0.0004761,0.000107653249841371,6.75610265354477,6.846208423662,6.74167711806603,6.78132939842426
"L","6/7/2022",2022,158,472.57,449.34,"59331",58340,5,4,200,25,322969,170999,325811,173648,314982,172859,2.2362188,0.0004761,0.000107653249841371,16.3600643783932,16.3808414556126,15.3000028272052,16.0136362204036
"L","6/7/2022",2022,158,472.57,449.34,"59331",58340,6,5.6,200,25,398210,224135,427617,234214,406122,230445,2.2362188,0.0004761,0.000107653249841371,18.7397394661367,20.8204614790707,18.9121999723826,19.4908003058633
"T","6/8/2022",2022,159,470.26,483.39,"57838",60195,1,0,200,25,98978,59751,99864,59526,96760,58888,2.2362188,0.0004761,0.000107653249841371,4.22291403152747,4.34251679210123,4.07704387799241,4.2141582338737
"T","6/8/2022",2022,159,470.26,483.39,"57838",60195,2,0.65,200,25,97295,58995,93339,55645,98229,59413,2.2362188,0.0004761,0.000107653249841371,4.12311946892451,4.05788159952064,4.17866854584266,4.11988987142927
"T","6/8/2022",2022,159,470.26,483.39,"57838",60195,3,1.2,200,25,94741,59016,91895,56375,89832,55385,2.2362188,0.0004761,0.000107653249841371,3.84591235058298,3.8238434343655,3.70833149728571,3.79269576074473
"T","6/8/2022",2022,159,470.26,483.39,"57838",60195,4,2.1,200,25,123199,77696,119775,74133,118124,74410,2.2362188,0.0004761,0.000107653249841371,4.89854582753191,4.91350962925986,4.7059541635657,4.83933654011916
"T","6/8/2022",2022,159,470.26,483.39,"57838",60195,5,2.6,200,25,309782,190674,318088,193064,312858,193774,2.2362188,0.0004761,0.000107653249841371,12.822363282106,13.4592399081676,12.8197796041098,13.0337942647945
"T","6/8/2022",2022,159,470.26,483.39,"57838",60195,6,3.4,200,25,351208,225661,362373,228475,361544,235614,2.2362188,0.0004761,0.000107653249841371,13.5155425578346,14.4145548472599,13.5567737525239,13.8289570525395
"R","6/13/2022",2022,164,608.87,604.45,"62249",59318,1,0,200,25,96081,61032.84,95806,54707.34,100822,57446.27,2.2362188,0.0004761,0.000107653249841371,3.77304832496035,4.42440431312557,4.66953829874186,4.28899697894259
"R","6/13/2022",2022,164,608.87,604.45,"62249",59318,2,0.7,200,25,107700,63004.84,110936,64003.1,113585,66617.71,2.2362188,0.0004761,0.000107653249841371,4.81157922618006,5.05247920948009,5.05618140474213,4.97341328013409
"R","6/13/2022",2022,164,608.87,604.45,"62249",59318,3,1.3,200,25,153624,88468.31,127818,74195.7,120478,69600.41,2.2362188,0.0004761,0.000107653249841371,7.01422177415693,5.77261485896896,5.47713790759685,6.08799151357424
"R","6/13/2022",2022,164,608.87,604.45,"62249",59318,4,2.6,200,25,164067,98980.92,166802,96877.45,170879,101805.8,2.2362188,0.0004761,0.000107653249841371,7.00672803143547,7.52760505119545,7.435954456943,7.32342917985797
"R","6/13/2022",2022,164,608.87,604.45,"62249",59318,5,3.3,200,25,166738,96757.27,173341,104051.43,164183,99289.85,2.2362188,0.0004761,0.000107653249841371,7.53365301077154,7.45924739061117,6.98595848994357,7.32628629710876
"R","6/13/2022",2022,164,608.87,604.45,"62249",59318,6,4.2,200,25,636858.31,361778.06,1288997.75,679194.75,2068464,1064424.25,2.2362188,0.0004761,0.000107653249841371,29.6132828796768,65.6472747130176,108.088142057418,67.7828998833708
"L","6/14/2022",2022,165,652.17,604.88,"59861",60034,1,0,200,25,79974.69,44826.6,77552.93,42146.82,67230.88,37612.34,2.2362188,0.0004761,0.000107653249841371,3.783806114217,3.81158280574107,3.18853208655665,3.5946403355049
"L","6/14/2022",2022,165,652.17,604.88,"59861",60034,2,1,200,25,66500.5,36445.22,67558.04,36907.68,66384.93,36331.22,2.2362188,0.0004761,0.000107653249841371,3.23554856689237,3.29961086280797,3.23537955129011,3.25684632699682
"L","6/14/2022",2022,165,652.17,604.88,"59861",60034,3,1.9,200,25,75190.06,41137.55,75387.92,41147.01,72333.76,40217.69,2.2362188,0.0004761,0.000107653249841371,3.66586336675579,3.6861452390259,3.45739930763296,3.60313597113822
"L","6/14/2022",2022,165,652.17,604.88,"59861",60034,4,3.3,200,25,110964.28,64808.73,111306.71,65562.19,115617.73,68107.03,2.2362188,0.0004761,0.000107653249841371,4.9687949557159,4.9245462404336,5.11468125723843,5.00267415112931
"L","6/14/2022",2022,165,652.17,604.88,"59861",60034,5,4.4,200,25,212701.29,129879.71,214484.01,132005.26,212083.25,125091.66,2.2362188,0.0004761,0.000107653249841371,8.91601224399711,8.87910548035399,9.36492737236812,9.05334836557307
"L","6/14/2022",2022,165,652.17,604.88,"59861",60034,6,6.4,200,25,1085687,661652.56,1111304.37,685381.18,1128237.12,668593.56,2.2362188,0.0004761,0.000107653249841371,45.6486855106659,45.8520155863038,49.4821230026573,46.9942746998757
"T","6/15/2022",2022,166,630.55,642.71,"60850",62512.92,1,0,200,25,170323.35,104908.73,163565.82,96903.21,166366.43,101534.05,2.2362188,0.0004761,0.000107653249841371,7.04209643013835,7.17644660940789,6.97941640195071,7.06598648049898
"T","6/15/2022",2022,166,630.55,642.71,"60850",62512.92,2,0.6,200,25,152046.62,92991.97,157739.78,94545.71,162150.54,102391.43,2.2362188,0.0004761,0.000107653249841371,6.35742499074473,6.8030470062031,6.43326239912798,6.53124479869193
"T","6/15/2022",2022,166,630.55,642.71,"60850",62512.92,3,1,200,25,149112.79,95907.65,143011.43,90039.55,147840.03,94158.2,2.2362188,0.0004761,0.000107653249841371,5.72770622926513,5.70259503220713,5.77902345693201,5.73644157280142
"T","6/15/2022",2022,166,630.55,642.71,"60850",62512.92,4,1.8,200,25,186934.82,124263.99,190851.67,126466.48,188612.23,126180.74,2.2362188,0.0004761,0.000107653249841371,6.7467185197561,6.93127494515415,6.72095279093906,6.79964875194977
"T","6/15/2022",2022,166,630.55,642.71,"60850",62512.92,5,2.4,200,25,224859.7,132764.04,231068.1,138835.93,216643.14,132181.23,2.2362188,0.0004761,0.000107653249841371,9.91439709528597,9.92909284042182,9.0925990993094,9.6453630116724
"T","6/15/2022",2022,166,630.55,642.71,"60850",62512.92,6,3.4,200,25,344442.31,207836.75,341467.21,208602.92,343114.71,207068.89,2.2362188,0.0004761,0.000107653249841371,14.7060324804004,14.3032726063664,14.6457746503342,14.5516932457003
"R","6/20/2022",2022,171,700.86,715.29,"62679",61854,1,0,200,25,63030,35148,66057,36530,66807,37249,2.2362188,0.0004761,0.000107653249841371,3.00158791207711,3.17867750806617,3.18201475881125,3.12076005965151
"R","6/20/2022",2022,171,700.86,715.29,"62679",61854,2,0.8,200,25,75532,42869,77857,43481,74127,41477,2.2362188,0.0004761,0.000107653249841371,3.51627809956871,3.70068811654697,3.51487860732077,3.57728160781215
"R","6/20/2022",2022,171,700.86,715.29,"62679",61854,3,1.6,200,25,90397,50923,80903,46205,88147,50331,2.2362188,0.0004761,0.000107653249841371,4.24950438423828,3.7353524629959,4.07101529600129,4.01862404774516
"R","6/20/2022",2022,171,700.86,715.29,"62679",61854,4,2.6,200,25,107221,63306,99912,58921,99272,58009,2.2362188,0.0004761,0.000107653249841371,4.72759246678381,4.41281436424764,4.4420960482045,4.52750095974532
"R","6/20/2022",2022,171,700.86,715.29,"62679",61854,5,3.4,200,25,198312,118237,200796,119345,206603,123131,2.2362188,0.0004761,0.000107653249841371,8.62033398104779,8.76846485282952,8.98603207075893,8.79161030154541
"R","6/20/2022",2022,171,700.86,715.29,"62679",61854,6,4.4,200,25,2206981,1149426,2236289,1145065,2143622,1094758,2.2362188,0.0004761,0.000107653249841371,113.849232635991,117.4738099049,112.91361824162,114.745553594171
"L","6/21/2022",2022,172,710.09,679.73,"62419",62317,1,0,200,25,75113,42842,71485,38211,70152,37772,2.2362188,0.0004761,0.000107653249841371,3.47407802563089,3.58205423522178,3.4858122298636,3.51398149690542
"L","6/21/2022",2022,172,710.09,679.73,"62419",62317,2,1.1,200,25,62250,34676,60444,34900,59150,34634,2.2362188,0.0004761,0.000107653249841371,2.96843071112597,2.74989461394798,2.63922707311105,2.785850799395
"L","6/21/2022",2022,172,710.09,679.73,"62419",62317,3,2.2,200,25,66275,38859,69968,40098,60980,34516,2.2362188,0.0004761,0.000107653249841371,2.95142149765103,3.21560257276176,2.84893560380205,3.00531989140494
"L","6/21/2022",2022,172,710.09,679.73,"62419",62317,4,3.2,200,25,74983,43111,79831,46889,77643,42921,2.2362188,0.0004761,0.000107653249841371,3.43112437894418,3.54631335627445,3.73793614099209,3.57179129207024
"L","6/21/2022",2022,172,710.09,679.73,"62419",62317,5,4.7,200,25,235593,137556,244231,146338,249568,143144,2.2362188,0.0004761,0.000107653249841371,10.5540016546985,10.5384995867213,11.4568894611181,10.849796900846
"L","6/21/2022",2022,172,710.09,679.73,"62419",62317,6,6.3,200,25,1028443,600022,999320,591948,989154,567051,2.2362188,0.0004761,0.000107653249841371,46.1209129502901,43.854919694379,45.4407597177923,45.1388641208205
"T","6/22/2022",2022,173,705.09,686.21,"62612",62279,1,0,200,25,118466,71524,125898,71236,119928,67897,2.2362188,0.0004761,0.000107653249841371,5.05345885405364,5.88454194282903,5.60130624249638,5.51310234645968
"T","6/22/2022",2022,173,705.09,686.21,"62612",62279,2,0.6,200,25,114144,63919,115573,66124,113305,65032,2.2362188,0.0004761,0.000107653249841371,5.40688447328287,5.32334555140596,5.19674532959251,5.30899178476044
"T","6/22/2022",2022,173,705.09,686.21,"62612",62279,3,1.8,200,25,142665,86169,143914,83384,150429,86546,2.2362188,0.0004761,0.000107653249841371,6.0819780030381,6.51625121289819,6.87721255961631,6.4918139251842
"T","6/22/2022",2022,173,705.09,686.21,"62612",62279,4,2.2,200,25,191843,115510,180953,106566,184757,110064,2.2362188,0.0004761,0.000107653249841371,8.21749552014138,8.00800229595007,8.04094419040153,8.08881400216433
"T","6/22/2022",2022,173,705.09,686.21,"62612",62279,5,2.5,200,25,208481,126268,201930,119616,199094,116741,2.2362188,0.0004761,0.000107653249841371,8.85049662920865,8.86136960744262,8.86556808418644,8.85914477361257
"T","6/22/2022",2022,173,705.09,686.21,"62612",62279,6,3.8,200,25,535827,304595,526472,304043,533738,313521,2.2362188,0.0004761,0.000107653249841371,24.8928762673199,23.9452047089663,23.7070757203172,24.1817188988678
"R","6/27/2022",2022,178,657.23,690.74,"60341",55158.66,1,0,200,25,72828.89,41377.05,73254.68,42442.81,82398.63,47588.1,2.2362188,0.0004761,0.000107653249841371,3.38589278949083,3.31699793918985,3.74746668320055,3.48345247062707
"R","6/27/2022",2022,178,657.23,690.74,"60341",55158.66,2,0.65,200,25,72077.78,39904.98,71320.26,39884.37,71442.99,46370.48,2.2362188,0.0004761,0.000107653249841371,3.46350647649646,3.38417572015586,2.69913718318028,3.18227312661087
"R","6/27/2022",2022,178,657.23,690.74,"60341",55158.66,3,1.6,200,25,68116.78,40035.81,68379.95,36362.54,69524.93,41745.44,2.2362188,0.0004761,0.000107653249841371,3.02300767919805,3.44677823800361,2.99055237743587,3.15344609821251
"R","6/27/2022",2022,178,657.23,690.74,"60341",55158.66,4,2.2,200,25,90429.08,50449.63,74690.46,42956.02,72210.9,43165.09,2.2362188,0.0004761,0.000107653249841371,4.30391771937061,3.416315597896,3.126875840775,3.61570305268053
"R","6/27/2022",2022,178,657.23,690.74,"60341",55158.66,5,3.3,200,25,105085.57,62090.43,110767.64,65485.72,111120.78,65754.7,2.2362188,0.0004761,0.000107653249841371,4.62856654838473,4.87474584705698,4.88380594456363,4.79570611333511
"R","6/27/2022",2022,178,657.23,690.74,"60341",55158.66,6,4.3,200,25,934032.5,540893.68,928037.43,565850.93,924553.5,543199.62,2.2362188,0.0004761,0.000107653249841371,42.3226716118018,38.9905537736718,41.0539845216163,40.78906996903
"L","6/27/2022",2022,178,685.12,735.55,"56922.63",56016.1,1,0,200,25,50611.64,27993.84,50448.85,26556.6,50630.74,26509.68,2.2362188,0.0004761,0.000107653249841371,2.43487967426216,2.5720783585225,2.5967104986187,2.53455617713446
"L","6/27/2022",2022,178,685.12,735.55,"56922.63",56016.1,2,0.9,200,25,46592.84,25196.79,47463.46,27272.47,45981.68,24950.77,2.2362188,0.0004761,0.000107653249841371,2.30335431626847,2.17362569101463,2.26404580862139,2.24700860530149
"L","6/27/2022",2022,178,685.12,735.55,"56922.63",56016.1,3,1.9,200,25,66476.12,37068.4,63719.7,36038.3,63932.41,36451.57,2.2362188,0.0004761,0.000107653249841371,3.16583662842509,2.97999267015893,2.95840173437075,3.03474367765159
"L","6/27/2022",2022,178,685.12,735.55,"56922.63",56016.1,4,3.7,200,25,83801.28,49991.46,91296.73,54004.54,82675.91,49338.05,2.2362188,0.0004761,0.000107653249841371,3.63973699955179,4.01462544720188,3.58892897175665,3.74776380617011
"L","6/27/2022",2022,178,685.12,735.55,"56922.63",56016.1,5,4.7,200,25,206229.17,121328.82,210499.7,123627.35,204186.93,120112.07,2.2362188,0.0004761,0.000107653249841371,9.13979859016986,9.35209079885704,9.0509319089583,9.18094043266173
"L","6/27/2022",2022,178,685.12,735.55,"56922.63",56016.1,6,6.4,200,25,736993.12,476225.84,691708.12,436791.53,702102.43,439690.65,2.2362188,0.0004761,0.000107653249841371,28.0724451442948,27.4425993519804,28.2494809136589,27.921508469978
"T","6/28/2022",2022,179,711.12,677.53,"55275.79",56439.87,1,0,200,25,137822.51,81115.97,136337.64,96576.06,131371.14,85595.92,2.2362188,0.0004761,0.000107653249841371,6.10464331825971,4.28046330582767,4.92785119520373,5.10431927309704
"T","6/28/2022",2022,179,711.12,677.53,"55275.79",56439.87,2,0.4,200,25,143505.78,89837.6,147458.06,89914.01,146540.29,89047.01,2.2362188,0.0004761,0.000107653249841371,5.77755399007168,6.19480399153435,6.18933843603991,6.05389880588198
"T","6/28/2022",2022,179,711.12,677.53,"55275.79",56439.87,3,1.7,200,25,158816.29,95793.03,155661.28,95297.37,148973.78,90920.24,2.2362188,0.0004761,0.000107653249841371,6.78465875459769,6.49837108463204,6.24965224579603,6.51089402834192
"T","6/28/2022",2022,179,711.12,677.53,"55275.79",56439.87,4,2.2,200,25,160639.39,99948.41,164779.6,100693.51,163443.54,100397.66,2.2362188,0.0004761,0.000107653249841371,6.53358123305766,6.8990758581266,6.7870938711091,6.73991698743112
"T","6/28/2022",2022,179,711.12,677.53,"55275.79",56439.87,5,2.6,200,25,187324.34,113220.5,189895.42,117453.73,181064.06,112638.97,2.2362188,0.0004761,0.000107653249841371,7.97751920172499,7.79858335250116,7.36618330918831,7.71409528780482
"T","6/28/2022",2022,179,711.12,677.53,"55275.79",56439.87,6,3.7,200,25,399540.71,266771.56,401886.34,268077.78,402104.4,274195.5,2.2362188,0.0004761,0.000107653249841371,14.2930304761765,14.4049263405941,13.769808768635,14.1559218618018
"R","7/5/2022",2022,186,624.18,618.98,"62753",62969.03,1,0,200,25,131243.64,74027.42,109117.28,61983.7,118374.12,67275.78,2.2362188,0.0004761,0.000107653249841371,6.15951202663886,5.07408306365825,5.50090236249933,5.57816581759881
"R","7/5/2022",2022,186,624.18,618.98,"62753",62969.03,2,0.7,200,25,113828.05,66782.68,115801.6,67560.8,121442.93,69025.21,2.2362188,0.0004761,0.000107653249841371,5.06458697048975,5.19327889494762,5.64293790727504,5.30026792423747
"R","7/5/2022",2022,186,624.18,618.98,"62753",62969.03,3,1.4,200,25,128375.99,74323.93,121209.92,71370.51,117338.54,67572.33,2.2362188,0.0004761,0.000107653249841371,5.81887991962078,5.36537445667653,5.35749423878814,5.51391620502849
"R","7/5/2022",2022,186,624.18,618.98,"62753",62969.03,4,2.5,200,25,109223.23,65455.47,104464.71,63919.07,108141.2,64313.38,2.2362188,0.0004761,0.000107653249841371,4.71174160227717,4.36486991289829,4.71820725646264,4.59827292387937
"R","7/5/2022",2022,186,624.18,618.98,"62753",62969.03,5,3.4,200,25,672795.56,364856.84,652967.81,352100.87,654716.87,352978.68,2.2362188,0.0004761,0.000107653249841371,33.150603959992,32.3893038608288,32.4830967547531,32.6743348585247
"R","7/5/2022",2022,186,624.18,618.98,"62753",62969.03,6,5.1,200,25,1752972.5,921929.5,1771221,969888.18,1665349.75,894613.43,2.2362188,0.0004761,0.000107653249841371,89.4644797079226,86.2660822775505,82.972269618779,86.2342772014173
"L","7/5/2022",2022,186,617.38,619.13,"62491.92",62795.1,1,0,200,25,79753.32,44463.69,82316.98,44974.94,82652.94,46606.53,2.2362188,0.0004761,0.000107653249841371,3.79904335519955,4.01999196170647,3.8805131816145,3.89984949950684
"L","7/5/2022",2022,186,617.38,619.13,"62491.92",62795.1,2,0.9,200,25,79409.98,45177.76,79688.02,46389.13,78765.53,46648.77,2.2362188,0.0004761,0.000107653249841371,3.68520973228478,3.58473372461034,3.45747358837535,3.57580568175682
"L","7/5/2022",2022,186,617.38,619.13,"62491.92",62795.1,3,1.8,200,25,92259.84,52500.83,107748.5,63036.09,103852.8,60179.06,2.2362188,0.0004761,0.000107653249841371,4.28018663697557,4.81343624473982,4.70162004372709,4.59841430848083
"L","7/5/2022",2022,186,617.38,619.13,"62491.92",62795.1,4,3.6,200,25,144699.6,84780.89,140754.9,81342.14,139393.73,80027.75,2.2362188,0.0004761,0.000107653249841371,6.45044385780266,6.39597669604542,6.39094067701784,6.41245374362198
"L","7/5/2022",2022,186,617.38,619.13,"62491.92",62795.1,5,4.2,200,25,1167797.62,606343.62,1191807.87,621165.87,1174798.37,621176.25,2.2362188,0.0004761,0.000107653249841371,60.4423477364372,61.4314657959797,59.5992204020696,60.4910113114955
"L","7/5/2022",2022,186,617.38,619.13,"62491.92",62795.1,6,6.3,200,25,612966.87,354794.37,612639.25,344391.12,608501.43,349886.31,2.2362188,0.0004761,0.000107653249841371,27.7931086446714,28.8777829583706,27.8407581261162,28.1705499097194
"T","7/6/2022",2022,187,559.57,556.33,"63012",62304,1,0,200,25,177672,97759,166338,95961,134019,82216,2.2362188,0.0004761,0.000107653249841371,8.60289415457349,7.57631276408618,5.57676130153255,7.25198940673074
"T","7/6/2022",2022,187,559.57,556.33,"63012",62304,2,0.45,200,25,203847,116573,198672,118829,199862,118257,2.2362188,0.0004761,0.000107653249841371,9.39532972665582,8.5953584270846,8.78504345330509,8.92524386901517
"T","7/6/2022",2022,187,559.57,556.33,"63012",62304,3,1.2,200,25,189367,113114,189397,112479,167919,100186,2.2362188,0.0004761,0.000107653249841371,8.20888326015407,8.28047267129858,7.29167757150559,7.92701116765275
"T","7/6/2022",2022,187,559.57,556.33,"63012",62304,4,1.9,200,25,220717,130831,220101,134540,221014,139020,2.2362188,0.0004761,0.000107653249841371,9.67652001524149,9.21091970967756,8.82692056749339,9.23812009747081
"T","7/6/2022",2022,187,559.57,556.33,"63012",62304,5,2.4,200,25,200050,133241,205423,143399,197259,140457,2.2362188,0.0004761,0.000107653249841371,7.19220596865216,6.6770851681612,6.11491989748956,6.66140367810098
"T","7/6/2022",2022,187,559.57,556.33,"63012",62304,6,3.4,200,25,494397,310049,506209,307597,507163,315546,2.2362188,0.0004761,0.000107653249841371,19.8456613017571,21.3812272574944,20.628192774854,20.6183604447018
"R","7/11/2022",2022,192,494.75,538.93,"57755",58143.46,1,0,200,25,129506.14,263105.87,133228.71,256448.5,125000.26,260459.01,2.2362188,0.0004761,0.000107653249841371,-14.3824451124297,-13.2650108382713,-14.5825746569498,-14.0766768692169
"R","7/11/2022",2022,192,494.75,538.93,"57755",58143.46,2,0.6,200,25,96336.8,104769.91,119577.32,95390.67,92476.37,97541.95,2.2362188,0.0004761,0.000107653249841371,-0.907851697769765,2.6037714752758,-0.545326149331453,0.383531209391527
"R","7/11/2022",2022,192,494.75,538.93,"57755",58143.46,3,1.2,200,25,106070.73,75864.14,107617.18,72763.04,104006.04,71279.08,2.2362188,0.0004761,0.000107653249841371,3.25183758012586,3.75216144142613,3.52316360142856,3.50905420766018
