"lake","year","date","ZID","carbon"
"T",2022,2022-07-13,4,853.333333333333
"T",2022,2022-07-13,5,1060
"T",2022,2022-07-13,6,1206.66666666667
"R",2022,2022-07-18,2,526.666666666667
"R",2022,2022-07-11,3,500
"R",2022,2022-07-11,3,533.333333333333
"R",2022,2022-07-11,4,573.333333333333
"L",2022,2022-07-19,6,846.666666666667
"T",2022,2022-07-20,3,820
"T",2022,2022-07-20,6,980
"T",2022,2022-07-20,1,1040
"L",2022,2022-07-19,2,706.666666666667
"L",2022,2022-07-19,4,726.666666666667
"T",2022,2022-07-20,2,880
"L",2022,2022-07-19,5,793.333333333333
"L",2022,2022-07-12,1,646.666666666667
"L",2022,2022-07-12,1,600
"R",2022,2022-07-11,5,606.666666666667
"T",2022,2022-07-20,4,873.333333333333
"L",2022,2022-07-12,2,606.666666666667
"L",2022,2022-07-12,3,640
"L",2022,2022-07-12,3,666.666666666667
"R",2022,2022-07-11,2,646.666666666667
"R",2022,2022-07-11,2,566.666666666667
"L",2022,2022-07-19,1,480
"R",2022,2022-07-11,6,980
"R",2022,2022-07-11,6,873.333333333333
"T",2022,2022-07-20,5,840
"R",2022,2022-07-25,3,440
"T",2022,2022-07-27,2,953.333333333333
"L",2022,2022-08-02,5,626.666666666667
"R",2022,2022-08-08,6,1193.33333333333
"L",2022,2022-08-08,1,660
"L",2022,2022-07-26,2,560
"T",2022,2022-07-27,1,840
"R",2022,2022-07-25,2,440
"R",2022,2022-08-01,4,486.666666666667
"R",2022,2022-08-08,5,493.333333333333
"T",2022,2022-08-07,5,920
"T",2022,2022-08-03,3,700
"L",2022,2022-08-02,4,740
"T",2022,2022-08-07,2,920
"T",2022,2022-08-03,2,760
"L",2022,2022-07-26,1,526.666666666667
"L",2022,2022-07-26,5,713.333333333333
"T",2022,2022-07-27,6,866.666666666667
"R",2022,2022-08-01,6,760
"L",2022,2022-08-08,6,2153.33333333333
"R",2022,2022-08-08,1,386.666666666667
"T",2022,2022-08-03,1,800
"L",2022,2022-08-08,2,733.333333333333
"R",2022,2022-08-08,4,460
"R",2022,2022-07-25,6,4093.33333333333
"R",2022,2022-08-08,3,420
"T",2022,2022-08-03,6,820
"L",2022,2022-08-02,3,646.666666666667
"T",2022,2022-08-07,3,873.333333333333
"R",2022,2022-07-25,1,413.333333333333
"T",2022,2022-07-27,4,933.333333333333
"R",2022,2022-07-25,4,506.666666666667
"T",2022,2022-08-07,4,800
"T",2022,2022-08-07,1,813.333333333333
"R",2022,2022-08-01,2,513.333333333333
"L",2022,2022-08-02,1,693.333333333333
"L",2022,2022-07-26,4,546.666666666667
"T",2022,2022-08-03,4,740
"L",2022,2022-08-02,6,1333.33333333333
"R",2022,2022-08-01,1,533.333333333333
"R",2022,2022-08-01,3,553.333333333333
"T",2022,2022-07-27,3,1020
"L",2022,2022-08-08,3,786.666666666667
"T",2022,2022-08-03,5,813.333333333333
"T",2022,2022-08-07,6,846.666666666667
"L",2022,2022-07-26,6,1133.33333333333
"L",2022,2022-08-02,2,760
"L",2022,2022-08-08,4,760
"L",2022,2022-08-08,5,826.666666666667
